Ano,Mes,Pais,UF,SH2,Valor_Importacao
2020,fev,Afeganistão,Rio Grande do Sul,Borracha e suas obras,2247.0
2020,fev,Afeganistão,São Paulo,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",2562.0
2020,fev,Afeganistão,São Paulo,"Obras de ferro fundido, ferro ou aço",18.0
2020,fev,Afeganistão,São Paulo,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1992.0
2020,fev,Afeganistão,São Paulo,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",2253.0
2020,fev,Afeganistão,São Paulo,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",293.0
2020,fev,"Aland, Ilhas",Rio Grande do Norte,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",1468.0
2020,fev,Albânia,Bahia,"Obras de ferro fundido, ferro ou aço",0.0
2020,fev,Albânia,Distrito Federal,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",159.0
2020,fev,Albânia,Espírito Santo,"Vestuário e seus acessórios, de malha",857.0
2020,fev,Albânia,Espírito Santo,"Vestuário e seus acessórios, exceto de Malha",16513.0
2020,fev,Albânia,Paraná,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",317.0
2020,fev,Albânia,Paraná,"Vestuário e seus acessórios, exceto de Malha",279.0
2020,fev,Albânia,Rio de Janeiro,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",238.0
2020,fev,Albânia,São Paulo,"Café, chá, mate e especiarias",1001.0
2020,fev,Albânia,São Paulo,"Calçados, polainas e artefatos semelhantes; suas partes",87.0
2020,fev,Albânia,São Paulo,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",3331.0
2020,fev,Albânia,São Paulo,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa",1035.0
