"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1051.818","1118.466","1112.832","1239.77","1305.314","1462.935","1510.564","1788.849","1907.977","2010.827","2317.687","2385.706","2516.011","2534.919","2400.615","2515.553","2449.86","2542.853","2390.024","2474.017","2585.022","2700.33","2802.908","2905.832","3009.579"
"Albania","2157.741","2447.005","2617.639","2692.366","2786.071","2773.464","2930.535","2920.091","2925.035","3249.096","2979.534","2231.23","2130.653","2405.154","2703.97","3024.994","3381.652","3083.401","3414.84","3935.549","4330.519","4837.702","5152.605","5559.207","6048.929","6615.812","7264.04","7965.456","8796.657","9222.982","9724.481","10207.743","10526.271","10570.982","11259.261","11661.999","12077.602","13088.307","13982.669","14534.109","14218.106","15225.332","16218.619","17276.354","18284.506","19327.235","20411.603"
"Algeria","4813.287","5263.191","5761.055","6109.429","6476.331","6729.559","6671.009","6614.098","6522.14","6930.649","7154.281","7130.527","7232.598","7080.384","7009.58","7282.539","7561.341","7648.094","8001.352","8248.597","8598.196","8919.384","9427.781","10142.193","10701.651","11512.108","11880.937","12422.758","12688.571","12744.566","13095.663","13480.048","13263.91","13003.307","12940","11944.989","11543.303","11644.063","11823.841","11894.859","11112.187","11432.747","11809.719","12008.996","12188.341","12366.023","12546.82"
"Angola","1223.555","1246.691","1289.604","1360.769","1455.972","1379.59","1407.95","1464.258","1566.377","1584.998","1546.309","1739.588","1924.382","2122.395","2325.781","2544.307","2797.355","2963.679","3046.246","3065.676","3135.865","3242.162","3634.494","3701.619","4094.784","4715.431","5261.302","5980.157","6579.806","6492.129","6686.332","6857.285","7623.612","7948.018","8507.964","7668.513","7449.176","7681.958","7478.853","7346.304","6931.862","6878.133","6991.534","7180.887","7384.959","7594.693","7791.721"
"Antigua and Barbuda","4001.414","4583","4918.495","5463.894","6338.636","7158.76","8285.808","9213.236","10187.195","11245.327","12029.366","12603.916","12830.391","13522.198","14360.612","13653.462","14421.71","15047.396","15512.78","15926.446","17012.499","16247.277","16495.36","17629.285","18938.071","20558.32","23621.581","26219.24","26435.89","23162.379","21426.245","21223.826","20392.925","19498.874","19674.14","19456.146","20388.518","20190.631","21777.631","22567.841","18618.349","18125.184","20442.328","21905.392","23359.532","24420.307","25280.748"
"Argentina","6179.32","6263.393","6334.132","6732.522","6995.775","6602.519","7125.168","7401.751","7422.124","7084.882","7102.359","8005.126","8909.231","9548.299","10189.821","9983.668","10601.39","11525.04","11968.699","11603.762","11646.257","11262.946","10097.011","11100.751","12299.708","13674.482","15074.207","16708.085","17550.544","16476.516","18061.925","19322.227","19641.353","20131.68","19683.772","20105.199","20307.87","23597.118","23305.845","22997","20750.99","22141.444","22973.354","23739.485","24407.238","25043.185","25648.009"
"Armenia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1626.489","1464.992","1615.42","1820.512","1980.429","2102.72","2281.535","2403.308","2609.275","2938.044","3437.68","4006.692","4560.464","5401.846","6320.839","7407.749","8103.603","7033.594","7281.037","7778.182","9093.972","9563.81","9792.081","9753.364","10502.091","11974.031","12947.629","14176.871","13261.333","13637.538","14439.818","15538.882","16608.468","17695.56","18837.357"
"Aruba","no data","no data","no data","no data","no data","no data","13412.734","16135.449","19707.625","22499.469","23341.503","25097.876","26256.219","27010.607","28346.252","28844.927","28589.586","29940.565","30094.335","30529.681","33236.951","32512.55","31864.628","32723.22","35495.774","36100.936","36915.011","38390.528","38898.966","34518","33669.503","35253.65","33969.212","35714.984","35398.96","35642.671","35716.203","36893.478","38057.445","38722.056","29089.654","30971.916","35329.852","38685.065","41818.821","43145.991","44449.666"
"Australia","10504.899","11784.31","12315.784","12577.417","13686.926","14681.157","15116.895","15995.099","16960.932","18169.145","18872.698","19083.18","19814.839","20882.804","22155.756","22971.898","24086.158","25371.556","26584.495","27852.29","28996.03","30021.433","31403.164","32507.954","34379.966","36046.088","37557.576","39529.281","40488.753","40821.791","41687.3","43089.952","42905.745","46505.817","47018.362","46406.689","48137.978","49748.181","51562.941","52712.423","51680.434","54891.328","57268.057","59205.407","61064.421","62947.069","64884.784"
