Ano,Populacao,GDP_Ano,GDP_2010_dolar_Ano,GDP_PPP_Ano,GDP_PPP_2010_dolar_Ano,GDP_Percapita_Ano,GDP_Percapita_2010_dolar_Ano,GDP_Percapita_PPP_Ano,GDP_Percapita_PPP_2010_dolar_Ano
1980,3842318826.697854,11196271000000.0,29628460260958.195,13365962000000.0,35370068656472.99,2913.9359602863155,7711.088433132795,3478.618668270927,9205.396598197072
1981,3993054451.122309,11473922000000.0,27528929308687.62,14879012000000.0,35698627682070.26,2873.4699565078754,6894.203333728693,3726.22316628265,8940.180535739153
1982,4066346728.5333033,11254049000000.0,25426902701479.54,15829859000000.0,35765286304612.71,2767.60683515526,6253.009002665842,3892.8945455936796,8795.434499879195
1983,4138092729.3229723,11559236000000.0,25301666657672.85,16855897000000.0,36895369824620.56,2793.3728787878545,6114.33051714441,4073.3492704398072,8916.032635802476
1984,4210569514.896929,11975049000000.0,25131145678253.832,18225717000000.0,38248958231204.51,2844.0449582016076,5968.585862159557,4328.5633773573145,9084.034379643963
1985,4285529272.6017747,12494045000000.0,25319703996877.43,19464762000000.0,39446153124121.75,2915.403023817121,5908.185987376458,4541.973875768863,9204.499751362966
1986,4369892952.718192,14736110000000.0,29314131463601.535,20555042000000.0,40889570139463.6,3372.190156473682,6708.203560310865,4703.78616190454,9357.11025004152
1987,4447841530.559656,16974989000000.0,32593987754437.867,21870335000000.0,41993631405325.445,3816.4554387494327,7328.046093930123,4917.067042460061,9441.350622948461
1988,4525863332.673274,19079625000000.0,35178058593750.0,23662355000000.0,43627467031250.0,4215.6873943275505,7772.6736332914215,5228.252216361878,9639.590023917212
1989,4606197356.086781,20067831000000.0,35295453439024.4,25491995000000.0,44835514241192.42,4356.7023834707625,7662.601211036654,5534.2819747647245,9733.73713176777
1990,4965443047.542293,23626717000000.0,39418353041131.1,27542250000000.0,45950951799485.87,4758.229381302507,7938.536936928861,5546.786004046986,9254.149400068109
1991,5047881890.268834,24448615000000.0,39153981826033.32,29157004000000.0,46694375314003.695,4843.341332357906,7756.517025787246,5776.086809045208,9250.290781172953
1992,5273466611.98737,25303845000000.0,39334599772455.1,33114556000000.0,51476279865868.266,4798.332266384435,7458.964409301794,6279.466323864783,9761.373998055675
1993,5362465783.735306,25993865000000.0,39232600895348.85,34575811000000.0,52185351951162.79,4847.371721949447,7316.149412895796,6447.744823821646,9731.596257349413
1994,5453347580.393708,27944079000000.0,41124052768707.49,36368137000000.0,53521362614512.45,5124.206478322909,7541.065769686096,6668.956354579984,9814.405156740155
1995,5544928907.621364,31149612000000.0,44577945287761.86,38484797000000.0,55075266269018.734,5617.675631005052,8039.40790412851,6940.539300170941,9932.546870586417
1996,5630848581.787447,32016892000000.0,44494567254817.984,40697170000000.0,56557737323340.45,5685.979925575732,7901.929275585973,7227.537627566813,10044.265353941884
1997,5717336923.9403715,31930628000000.0,43376195859759.305,43063613000000.0,58499811275771.85,5584.877789219654,7586.783223869297,7532.110416595964,10232.003475396716
1998,5838807991.775857,31765449000000.0,42506755465979.4,44668728000000.0,59773205096907.19,5440.399657728533,7280.039954362515,7650.316308211761,10237.227389751402
1999,5915560740.054837,32879213000000.0,43043084693898.125,46855355000000.0,61339637710539.62,5558.088986792351,7276.247609537539,7920.69544358455,10369.200893366366
2000,5996493896.882034,33959831000000.0,43004742085853.69,50207163000000.0,63579412267317.055,5663.281174630715,7171.647770410413,8372.753122638207,10602.76444213111
2001,6074527173.827509,33700369000000.0,41501972449715.34,52552513000000.0,64718369899430.766,5547.8176384164035,6832.1321581257,8651.292766690696,10654.058834121943
2002,6169318911.486932,34832966000000.0,42215863555555.57,54916269000000.0,66555851691876.75,5646.160702625202,6842.872634927651,8901.512434014221,10788.200877077925
2003,6275026301.117832,39118702000000.0,46370844927853.86,58310838000000.0,69120975090410.97,6234.029966222038,7389.7451106449325,9292.524875889765,11015.248665666591
2004,6353286754.136042,44028686000000.0,50821907005780.375,63038585000000.0,72764858452645.62,6930.064343678013,7999.30948696671,9922.200498657072,11453.104710766456
2005,6432077764.945258,47690615000000.0,53249392060215.055,68099509000000.0,76037129188817.17,7414.496021785253,8278.723300023448,10587.482224039868,11821.550044562358
2006,6511533435.958636,51651455000000.0,55869657158333.32,73889244000000.0,79923532260000.02,7932.302814382432,8580.107544223662,11347.441386380891,12274.149099602
2007,6592178084.059784,58295629000000.0,61319065188006.5,79940555000000.0,84086580542949.72,8843.151422283592,9301.791366389065,12126.576979663256,12755.508038576092
2008,6677782444.50824,63931564000000.0,64754717184549.35,83840310000000.0,84919798969957.08,9573.771612247843,9697.039057899103,12555.112523761487,12716.766333080304
2009,6758053749.2897215,60575368000000.0,61571517356303.85,84146312000000.0,85530080638997.69,8963.433888990086,9110.835699224068,12451.264094909553,12656.022549093663
2010,6838943297.949483,66240983000000.0,66240983000000.0,89648923000000.0,89648923000000.0,9685.8505933016,9685.8505933016,13108.592818261763,13108.592818261763
2011,6900204110.58611,73520531000000.0,71269342224047.86,95120927000000.0,92208337002240.47,10654.834237034634,10328.584645011924,13785.233809832958,13363.13180370663
2012,6995190349.848124,74910855000000.0,71155718836443.5,100135938000000.0,95116317251372.14,10708.9087292137,10172.091862802332,14314.969713751121,13597.387990083396
2013,7077106712.19283,77084137000000.0,72163872936170.28,105061210000000.0,98355175319148.89,10892.041074807477,10196.804410458073,14845.220550227785,13897.653281064304
2014,7160739589.85673,79155309000000.0,72919511058907.0,108996040000000.0,100409410872959.5,11054.068927757742,10183.23737986483,15221.338331363724,14022.212316614694
2015,7243088354.835735,74936571000000.0,68935272259390.5,111271162000000.0,102360005865343.73,10345.941859175273,9517.386628780656,15362.391917490768,14132.094053085058
2016,7327062626.487817,76158884000000.0,69201422073503.69,115532687000000.0,104978248320616.06,10394.190398302397,9444.633627578938,15767.940427087613,14327.46704540408
2017,7410823658.553481,80833690000000.0,71913728320767.69,121689799000000.0,108261383894448.22,10907.517669335277,9703.877953939134,16420.54980751662,14608.549451786546
2018,7490188014.469747,85893396000000.0,74550068878635.94,128965386000000.0,111933848898696.1,11467.455267353613,9953.03038249749,17217.910385007854,14944.063978428749
2019,7569865071.862239,87345300000000.0,74490275558475.72,134783565000000.0,114946824816031.52,11538.554408937762,9840.370317214993,17805.279713769367,15184.791766407774
2020,7644839174.672699,84537684000000.0,71230064155793.58,131656468000000.0,110931577711132.78,11058.137662342562,9317.40518384982,17221.613822325653,14510.648972008248
