Entity,Code,Year,Gas Consumption - EJ
Africa,,1965,9.54376193500344
Africa,,1966,10.66992473593296
Africa,,1967,10.545678036535682
Africa,,1968,10.688978351175841
Africa,,1969,12.492009793599843
Africa,,1970,15.52033741626
Africa,,1971,18.405278422100295
Africa,,1972,24.67067666239796
Africa,,1973,39.55182307303287
Africa,,1974,44.51852299627102
Africa,,1975,53.63842038179921
Africa,,1976,60.981438735887515
Africa,,1977,68.23424549949551
Africa,,1978,97.36997570725686
Africa,,1979,148.84293502886834
Africa,,1980,186.9141267314062
Africa,,1981,228.49133878947598
Africa,,1982,246.73374611145454
Africa,,1983,271.2755640154618
Africa,,1984,259.9029883547677
Africa,,1985,278.842970125917
Africa,,1986,313.27145321742876
Africa,,1987,323.3846158554524
Africa,,1988,358.44482736823807
Africa,,1989,371.4713382786329
Africa,,1990,398.645703349802
Africa,,1991,401.6359142923716
Africa,,1992,421.27059442883103
Africa,,1993,412.64430749551525
Africa,,1994,431.8282978148536
Africa,,1995,461.2438667398149
Africa,,1996,484.19213551567634
Africa,,1997,474.47591574188175
Africa,,1998,499.33739383579
Africa,,1999,504.020010703186
Africa,,2000,556.8228017092545
Africa,,2001,642.666668033651
Africa,,2002,681.2646711723314
Africa,,2003,723.7250415125784
Africa,,2004,787.8948483839329
Africa,,2005,817.3582419524511
Africa,,2006,853.0114708991031
Africa,,2007,908.0621422494078
Africa,,2008,947.7864317869361
Africa,,2009,955.7643822998443
Africa,,2010,989.1684420070234
Africa,,2011,1072.084081346779
Africa,,2012,1151.0751267687567
Africa,,2013,1166.3001266419299
Africa,,2014,1198.923562423441
Africa,,2015,1284.60419113697
Africa,,2016,1320.2286693918436
Africa,,2017,1400.8872043103586
Africa,,2018,1488.1310243538032
Africa,,2019,1501.2791248574058
Algeria,DZA,1965,7.430505944400001
Algeria,DZA,1966,7.719256175399999
Algeria,DZA,1967,7.488255990600001
Algeria,DZA,1968,7.8732562986
Algeria,DZA,1969,10.351695781350001
Algeria,DZA,1970,9.7308827847
Algeria,DZA,1971,11.049508839600001
Algeria,DZA,1972,12.8301352641
Algeria,DZA,1973,17.859201787350003
Algeria,DZA,1974,20.6745165396
Algeria,DZA,1975,28.490022792000005
Algeria,DZA,1976,33.68752695
