Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
DZA,1965,Algeria,12550885.0,0.0,0.0,24.760870864326005
DZA,1966,Algeria,12902627.0,0.0,0.0,29.768818304014
DZA,1967,Algeria,13275026.0,0.0,0.0,28.174062739144002
DZA,1968,Algeria,13663583.0,0.0,0.0,30.24422433305
DZA,1969,Algeria,14061722.0,0.0,0.0,33.474743477374
DZA,1970,Algeria,14464985.0,0.0,0.0,36.65487386841
DZA,1971,Algeria,14872250.0,0.0,0.0,39.67407128341
DZA,1972,Algeria,15285990.0,0.0,0.0,44.559173713978
DZA,1973,Algeria,15709825.0,0.0,0.0,53.116063321618
DZA,1974,Algeria,16149025.0,0.0,0.0,58.820356784782
DZA,1975,Algeria,16607707.0,0.0,0.0,70.31084301983002
DZA,1976,Algeria,17085801.0,0.0,0.0,82.032907261474
DZA,1977,Algeria,17582904.0,0.0,0.0,90.16424514485
DZA,1978,Algeria,18102266.0,0.0,0.0,113.316314820002
DZA,1979,Algeria,18647815.0,0.0,0.0,148.48784536600402
DZA,1980,Algeria,19221665.0,112059343527.01324,237754964322.12027,177.09714110640002
DZA,1981,Algeria,19824301.0,106459992606.28468,243033105360.44363,215.12109406091602
DZA,1982,Algeria,20452902.0,101173959965.18712,258556177545.69196,248.02691513435198
DZA,1983,Algeria,21101875.0,104034809443.5076,274355173693.08603,270.924987328528
DZA,1984,Algeria,21763575.0,108106506063.0558,287797135004.04205,260.115843476598
DZA,1985,Algeria,22431502.0,123886551131.92818,302757233411.39734,262.18057136464597
DZA,1986,Algeria,23102389.0,122409854406.13026,302566286590.0383,277.44552556771004
DZA,1987,Algeria,23774284.0,121543491124.26036,297176715976.33136,285.0787908429401
DZA,1988,Algeria,24443467.0,95255500000.0,289808000000.0,305.38894251567
DZA,1989,Algeria,25106190.0,92439409214.09216,301084994579.9458,297.028228231104
DZA,1990,Algeria,25758869.0,103259403598.97173,298663460154.24164,314.949787492962
DZA,1991,Algeria,26400479.0,74741098087.60025,292827518815.546,312.04293509406006
DZA,1992,Algeria,27028326.0,76507384431.13774,295365729341.3174,320.191701266312
DZA,1993,Algeria,27635515.0,76918574418.60466,287401348837.2093,297.93240422760005
DZA,1994,Algeria,28213774.0,62436448979.59184,283639489795.9184,301.89148697753
DZA,1995,Algeria,28757785.0,60200295479.60309,292440687982.35944,313.110382837084
DZA,1996,Algeria,29266405.0,65234922912.20557,300175702355.4604,309.900787342654
DZA,1997,Algeria,29742979.0,65447455782.31293,301764962846.6771,297.846217554828
DZA,1998,Algeria,30192754.0,64482498969.072174,315930523711.3402,308.310484226146
DZA,1999,Algeria,30623406.0,63944336863.33839,323575755925.36566,311.398154500458
DZA,2000,Algeria,31042235.0,69330928780.48781,332157566829.2683,299.936207050996
DZA,2001,Algeria,31451514.0,67418415559.77231,340005804554.0798,310.80050737709604
DZA,2002,Algeria,31855109.0,68791576097.1055,358936388422.03546,321.94041214954603
DZA,2003,Algeria,32264157.0,80445179908.67581,383335554337.8996,336.875854478424
DZA,2004,Algeria,32692163.0,98492170742.55226,399811702979.10187,349.73378702138393
DZA,2005,Algeria,33149724.0,115226670107.5269,422316163440.8603,366.175771645184
DZA,2006,Algeria,33641002.0,126584205000.00002,428600681666.6667,379.1831836307046
DZA,2007,Algeria,34166972.0,141977427876.82336,442424457050.2432,399.6010402055607
DZA,2008,Algeria,34730608.0,173202729613.73392,444561201716.7382,423.50901960462295
DZA,2009,Algeria,35333881.0,139307824588.88022,456866523101.01807,448.80159276783206
DZA,2010,Algeria,35977455.0,161207000000.0,471156000000.0,437.4017545411241
DZA,2011,Algeria,36661444.0,194119341299.4772,479791789395.0709,464.4228987719781
DZA,2012,Algeria,37383887.0,198579276984.9982,472399809732.8943,507.6033830033601
DZA,2013,Algeria,38140132.0,196366382978.72345,466201531914.8936,536.95647930324
DZA,2014,Algeria,38923687.0,196966202980.8375,466262051100.071,585.5716407179161
DZA,2015,Algeria,39728025.0,152686564138.90857,439128762579.7307,617.4827668139965
DZA,2016,Algeria,40551404.0,145414163108.15543,428319101155.0578,616.8189020842831
DZA,2017,Algeria,41389198.0,151424733379.02673,432193965729.952,623.5124731789582
DZA,2018,Algeria,42228429.0,152207533266.46606,436950804413.23975,672.0708240939193
DZA,2019,Algeria,43053054.0,145892812089.3561,440502993429.6978,705.0405404935824
ARG,1965,Argentina,22159650.0,0.0,0.0,313.2315908616388
ARG,1966,Argentina,22494035.0,0.0,0.0,323.6410764714213
ARG,1967,Argentina,22828869.0,0.0,0.0,333.25773711655035
ARG,1968,Argentina,23168267.0,0.0,0.0,344.7873600514739
ARG,1969,Argentina,23517611.0,0.0,0.0,356.64228125659116
ARG,1970,Argentina,23880561.0,0.0,0.0,336.87916638333917
ARG,1971,Argentina,24259561.0,0.0,0.0,357.88270979299637
ARG,1972,Argentina,24653175.0,0.0,0.0,364.29025951187384
ARG,1973,Argentina,25056478.0,0.0,0.0,379.9754994744342
ARG,1974,Argentina,25462302.0,0.0,0.0,396.5385952280131
ARG,1975,Argentina,25865776.0,0.0,0.0,386.56849893886846
ARG,1976,Argentina,26264681.0,0.0,0.0,407.62684739980233
ARG,1977,Argentina,26661398.0,0.0,0.0,425.8519727476051
ARG,1978,Argentina,27061047.0,0.0,0.0,434.4468013565633
ARG,1979,Argentina,27471036.0,0.0,0.0,460.7651498036094
ARG,1980,Argentina,27896528.0,618424888888.8889,457044191641.1824,460.33849440752255
ARG,1981,Argentina,28338515.0,455384465804.0666,427533848428.8355,443.80174596901134
ARG,1982,Argentina,28794548.0,212944299390.7746,414017942558.7468,454.45267652550166
ARG,1983,Argentina,29262047.0,254493365935.9191,432371898819.5616,474.7732022967425
ARG,1984,Argentina,29737093.0,273962994341.148,438096510913.5004,473.949058422338
ARG,1985,Argentina,30216279.0,199814991412.95865,406090597970.3357,462.45485180216144
ARG,1986,Argentina,30698964.0,235858038314.17624,435706274329.5019,510.45264029834357
ARG,1987,Argentina,31184415.0,233411505917.1598,441857633136.0947,533.490778097232
ARG,1988,Argentina,31668949.0,262524187500.0,430652062500.0,540.6425000357079
ARG,1989,Argentina,32148134.0,160670590785.90787,397005084010.84015,518.5948047232304
ARG,1990,Argentina,32618651.0,263644154241.64523,385462622107.9691,513.2068260551082
ARG,1991,Argentina,33079000.0,339480249228.8711,422677164713.14,519.0942098047299
ARG,1992,Argentina,33529326.0,397618594011.9761,462843482634.7306,558.3629634682138
ARG,1993,Argentina,33970111.0,399103304651.1628,488793595348.8373,576.3685979526098
ARG,1994,Argentina,34402672.0,423593911564.62585,515155891156.4626,587.0446581205468
ARG,1995,Argentina,34828170.0,412865607497.24365,496907887541.3451,610.7924979600435
ARG,1996,Argentina,35246374.0,422867276231.2634,518535713062.0985,654.166696943607
ARG,1997,Argentina,35657429.0,444805785452.6426,557429530088.9587,650.5504442873689
ARG,1998,Argentina,36063459.0,447266713402.0619,576657241237.1134,674.3824102638926
ARG,1999,Argentina,36467218.0,414990826021.18005,552923126575.8951,659.4894355850788
ARG,2000,Argentina,36870787.0,402391397073.1707,542493084878.0488,686.1260199907648
ARG,2001,Argentina,37275652.0,369968176470.58826,515367574952.56177,678.5628375217327
ARG,2002,Argentina,37681749.0,136293635854.34172,459082360410.831,646.0299233933835
ARG,2003,Argentina,38087868.0,168836016438.35617,498315831963.4704,693.0857072778358
ARG,2004,Argentina,38491972.0,190355249444.19745,542711749221.87646,730.0288420710893
ARG,2005,Argentina,38892931.0,222500089462.36563,589239521720.43,778.5560024923835
ARG,2006,Argentina,39289878.0,251911513333.33337,635426165000.0001,818.0085113939602
ARG,2007,Argentina,39684295.0,302853693679.0924,691674116693.6792,854.108839692723
ARG,2008,Argentina,40080160.0,368225836909.8713,706538420600.8584,868.6550691675891
ARG,2009,Argentina,40482788.0,340135970242.75653,672150546593.5789,851.8912655444532
ARG,2010,Argentina,40788453.0,424729000000.0,736718000000.0,896.4273289910388
ARG,2011,Argentina,41261490.0,511487611650.4854,772851883495.1456,913.632400469799
ARG,2012,Argentina,41733271.0,550608465422.6125,778608125869.0084,939.6877358717829
ARG,2013,Argentina,42202935.0,572440936170.2128,795385191489.3617,979.0492951093555
ARG,2014,Argentina,42669500.0,519212897090.1349,773730522356.2811,974.1297708265295
ARG,2015,Argentina,43131966.0,591012240963.8555,797729090007.0872,996.0567968861891
ARG,2016,Argentina,43590368.0,505910151907.5954,804358378718.936,993.3887756438936
ARG,2017,Argentina,44044811.0,572811225496.9158,924641287183.002,990.8119229740146
ARG,2018,Argentina,44494502.0,448935280508.1913,900035196255.433,983.5748846903289
ARG,2019,Argentina,44938712.0,379044996057.81866,881357350854.1392,961.8810761648642
AUS,1965,Australia,11388000.0,0.0,0.0,405.35804320645605
AUS,1966,Australia,11651000.0,0.0,0.0,444.668079613926
AUS,1967,Australia,11799000.0,0.0,0.0,471.61042640832
AUS,1968,Australia,12009000.0,0.0,0.0,500.152389049428
AUS,1969,Australia,12263000.0,0.0,0.0,520.755798348588
AUS,1970,Australia,12507000.0,0.0,0.0,568.1712720861836
AUS,1971,Australia,12937000.0,0.0,0.0,596.6371396802175
AUS,1972,Australia,13177000.0,0.0,0.0,623.9086468056503
AUS,1973,Australia,13380000.0,0.0,0.0,667.0143707650699
AUS,1974,Australia,13723000.0,0.0,0.0,709.2371335830562
AUS,1975,Australia,13893000.0,0.0,0.0,721.0296993510365
AUS,1976,Australia,14033000.0,0.0,0.0,746.3519338882401
AUS,1977,Australia,14192000.0,0.0,0.0,783.3643463553561
AUS,1978,Australia,14358000.0,0.0,0.0,802.7911166586481
AUS,1979,Australia,14514000.0,0.0,0.0,834.4590499049738
AUS,1980,Australia,14692000.0,430359111111.1111,411472615698.267,840.0925057260752
AUS,1981,Australia,14927000.0,451221748613.6784,425211364140.4806,847.0672504609032
AUS,1982,Australia,15178000.0,421842092254.134,425425430809.3995,846.5458419291942
AUS,1983,Australia,15369000.0,392138276559.8651,426264951096.1215,848.3287357483541
AUS,1984,Australia,15544000.0,412961270816.4915,450310512530.3153,885.3728513426856
AUS,1985,Australia,15758000.0,352754045277.12726,473073882903.98126,892.1550289314528
AUS,1986,Australia,16018400.0,360350660536.3984,485318718773.9464,922.337205508406
AUS,1987,Australia,16263900.0,408432213017.7515,503520313609.4674,946.9831642428028
AUS,1988,Australia,16532200.0,498907687500.0,521832875000.0,991.0336894268696
AUS,1989,Australia,16814400.0,541220271002.7101,541230823848.2385,1038.8533561897543
AUS,1990,Australia,17065100.0,539549236503.856,540622005141.3882,1057.1568867762576
AUS,1991,Australia,17284000.0,518532182603.3313,531124624305.984,1050.4083105798384
AUS,1992,Australia,17495000.0,493512035928.1438,540794989221.55695,1061.0601507780023
AUS,1993,Australia,17667000.0,466004639534.8838,558478083720.9303,1091.2959136688592
AUS,1994,Australia,17855000.0,518852689342.4036,583427453514.7393,1134.8325693867798
AUS,1995,Australia,18072000.0,541147219404.6307,595680392502.7563,1164.9357903682999
AUS,1996,Australia,18311000.0,588608256959.3148,613563488222.6981,1194.3167585402143
AUS,1997,Australia,18517000.0,578069835688.1215,637966660387.2318,1224.4869677742067
AUS,1998,Australia,18711000.0,509316465979.3815,665431074226.8042,1253.0458126033195
AUS,1999,Australia,18926000.0,538128675743.8226,689835616742.3097,1307.8652409075476
AUS,2000,Australia,19153000.0,505398144390.2439,702837240975.6097,1313.5064077248762
AUS,2001,Australia,19413000.0,463922933586.3378,716743531309.298,1325.592124241213
AUS,2002,Australia,19651400.0,514382492997.19885,746165783380.0187,1345.2726502200594
AUS,2003,Australia,19895400.0,639590389041.096,764030063926.9407,1365.5453779935965
AUS,2004,Australia,20127400.0,758063165851.4896,795515285015.5626,1410.8804685979942
AUS,2005,Australia,20394800.0,819618052473.1184,817491007311.828,1405.4468561591011
AUS,2006,Australia,20697900.0,845096431666.6667,837989881666.6667,1490.3837060446376
AUS,2007,Australia,20827600.0,997051231766.6128,873838003241.4912,1509.377589600537
AUS,2008,Australia,21249200.0,1069097218884.1204,880716549356.2233,1534.266062243739
AUS,2009,Australia,21691700.0,1015355163664.8396,907272523101.0182,1521.301662079126
