Entity,Code,Year,Source,Consumption,Classification
Algeria,DZA,1965,Coal,0.8141006512800001,Combustiveis Fosseis
Algeria,DZA,1966,Coal,0.7908406326720001,Combustiveis Fosseis
Algeria,DZA,1967,Coal,0.6047604838080001,Combustiveis Fosseis
Algeria,DZA,1968,Coal,0.6396505117200001,Combustiveis Fosseis
Algeria,DZA,1969,Coal,0.8141006512800001,Combustiveis Fosseis
Algeria,DZA,1970,Coal,0.965290772232,Combustiveis Fosseis
Algeria,DZA,1971,Coal,0.267490213992,Combustiveis Fosseis
Algeria,DZA,1972,Coal,0.23260018608,Combustiveis Fosseis
Algeria,DZA,1973,Coal,0.267490213992,Combustiveis Fosseis
Algeria,DZA,1974,Coal,0.220970176776,Combustiveis Fosseis
Algeria,DZA,1975,Coal,0.279120223296,Combustiveis Fosseis
Algeria,DZA,1976,Coal,0.5466104372880001,Combustiveis Fosseis
Algeria,DZA,1977,Coal,0.709430567544,Combustiveis Fosseis
Algeria,DZA,1978,Coal,0.360530288424,Combustiveis Fosseis
Algeria,DZA,1979,Coal,0.837360669888,Combustiveis Fosseis
Algeria,DZA,1980,Coal,0.744320595456,Combustiveis Fosseis
Algeria,DZA,1981,Coal,0.52335041868,Combustiveis Fosseis
Algeria,DZA,1982,Coal,9.711057768840002,Combustiveis Fosseis
Algeria,DZA,1983,Coal,8.66435693148,Combustiveis Fosseis
Algeria,DZA,1984,Coal,9.606387685104,Combustiveis Fosseis
Algeria,DZA,1985,Coal,10.025068020048002,Combustiveis Fosseis
Algeria,DZA,1986,Coal,10.29255823404,Combustiveis Fosseis
Algeria,DZA,1987,Coal,12.304549843632,Combustiveis Fosseis
Algeria,DZA,1988,Coal,11.571859257480002,Combustiveis Fosseis
Algeria,DZA,1989,Coal,9.780837824664,Combustiveis Fosseis
Algeria,DZA,1990,Coal,7.664176131336001,Combustiveis Fosseis
Algeria,DZA,1991,Coal,7.908406326720001,Combustiveis Fosseis
Algeria,DZA,1992,Coal,9.397047517632,Combustiveis Fosseis
Algeria,DZA,1993,Coal,7.652546122032,Combustiveis Fosseis
Algeria,DZA,1994,Coal,7.210605768480001,Combustiveis Fosseis
Algeria,DZA,1995,Coal,7.210605768480001,Combustiveis Fosseis
Algeria,DZA,1996,Coal,3.3959627167680004,Combustiveis Fosseis
Algeria,DZA,1997,Coal,5.954564763648,Combustiveis Fosseis
Algeria,DZA,1998,Coal,6.373245098592,Combustiveis Fosseis
Algeria,DZA,1999,Coal,6.8268154614480006,Combustiveis Fosseis
Algeria,DZA,2000,Coal,5.6405545124400005,Combustiveis Fosseis
Algeria,DZA,2001,Coal,6.512805210240001,Combustiveis Fosseis
Algeria,DZA,2002,Coal,8.54805683844,Combustiveis Fosseis
Algeria,DZA,2003,Coal,7.047785638224,Combustiveis Fosseis
Algeria,DZA,2004,Coal,8.408496726792,Combustiveis Fosseis
Algeria,DZA,2005,Coal,6.908225526576001,Combustiveis Fosseis
Algeria,DZA,2006,Coal,10.257668206128002,Combustiveis Fosseis
Algeria,DZA,2007,Coal,8.803917043128001,Combustiveis Fosseis
Algeria,DZA,2008,Coal,8.803917043128001,Combustiveis Fosseis
Algeria,DZA,2009,Coal,5.652184521744001,Combustiveis Fosseis
Algeria,DZA,2010,Coal,3.60530288424,Combustiveis Fosseis
Algeria,DZA,2011,Coal,3.1982525586,Combustiveis Fosseis
Algeria,DZA,2012,Coal,3.3959627167680004,Combustiveis Fosseis
Algeria,DZA,2013,Coal,1.837541470032,Combustiveis Fosseis
Algeria,DZA,2014,Coal,2.081771665416,Combustiveis Fosseis
Algeria,DZA,2015,Coal,1.5467912374320003,Combustiveis Fosseis
Algeria,DZA,2016,Coal,0.569870455896,Combustiveis Fosseis
Algeria,DZA,2017,Coal,2.116661693328,Combustiveis Fosseis
Algeria,DZA,2018,Coal,5.815004652000001,Combustiveis Fosseis
Algeria,DZA,2019,Coal,5.815004652000001,Combustiveis Fosseis
Argentina,ARG,1965,Coal,8.455055950557572,Combustiveis Fosseis
Argentina,ARG,1966,Coal,6.971823876314695,Combustiveis Fosseis
Argentina,ARG,1967,Coal,7.840403261153703,Combustiveis Fosseis
Argentina,ARG,1968,Coal,7.619041370723693,Combustiveis Fosseis
Argentina,ARG,1969,Coal,9.122177294050246,Combustiveis Fosseis
Argentina,ARG,1970,Coal,11.722607758084704,Combustiveis Fosseis
Argentina,ARG,1971,Coal,10.2775502506884,Combustiveis Fosseis
Argentina,ARG,1972,Coal,8.651301819865864,Combustiveis Fosseis
Argentina,ARG,1973,Coal,9.496529576112083,Combustiveis Fosseis
Argentina,ARG,1974,Coal,11.825931323095102,Combustiveis Fosseis
Argentina,ARG,1975,Coal,11.5109494999884,Combustiveis Fosseis
Argentina,ARG,1976,Coal,11.642594523484307,Combustiveis Fosseis
Argentina,ARG,1977,Coal,11.008511887933077,Combustiveis Fosseis
Argentina,ARG,1978,Coal,13.41920609491526,Combustiveis Fosseis
Argentina,ARG,1979,Coal,12.50168383007737,Combustiveis Fosseis
Argentina,ARG,1980,Coal,11.144598541906564,Combustiveis Fosseis
Argentina,ARG,1981,Coal,10.56047565526335,Combustiveis Fosseis
Argentina,ARG,1982,Coal,10.666084682699642,Combustiveis Fosseis
Argentina,ARG,1983,Coal,9.679970969260497,Combustiveis Fosseis
Argentina,ARG,1984,Coal,7.185229441752011,Combustiveis Fosseis
Argentina,ARG,1985,Coal,10.599614241413471,Combustiveis Fosseis
Argentina,ARG,1986,Coal,12.109359017767575,Combustiveis Fosseis
Argentina,ARG,1987,Coal,13.439683532372005,Combustiveis Fosseis
Argentina,ARG,1988,Coal,13.772360656251989,Combustiveis Fosseis
Argentina,ARG,1989,Coal,14.902780099856376,Combustiveis Fosseis
Argentina,ARG,1990,Coal,12.266141999992112,Combustiveis Fosseis
Argentina,ARG,1991,Coal,10.794021112505844,Combustiveis Fosseis
Argentina,ARG,1992,Coal,12.168173372327743,Combustiveis Fosseis
Argentina,ARG,1993,Coal,8.069993675989776,Combustiveis Fosseis
Argentina,ARG,1994,Coal,7.065112642194758,Combustiveis Fosseis
Argentina,ARG,1995,Coal,7.41415834578346,Combustiveis Fosseis
Argentina,ARG,1996,Coal,7.7668223576607485,Combustiveis Fosseis
Argentina,ARG,1997,Coal,6.127718918682825,Combustiveis Fosseis
Argentina,ARG,1998,Coal,8.23741595154049,Combustiveis Fosseis
Argentina,ARG,1999,Coal,9.885477449644773,Combustiveis Fosseis
Argentina,ARG,2000,Coal,7.51265331341076,Combustiveis Fosseis
Argentina,ARG,2001,Coal,6.156857205646823,Combustiveis Fosseis
Argentina,ARG,2002,Coal,4.586300160677388,Combustiveis Fosseis
Argentina,ARG,2003,Coal,5.593869108099818,Combustiveis Fosseis
Argentina,ARG,2004,Coal,9.519827035817205,Combustiveis Fosseis
Argentina,ARG,2005,Coal,10.961653718969847,Combustiveis Fosseis
Argentina,ARG,2006,Coal,9.923828516397574,Combustiveis Fosseis
Argentina,ARG,2007,Coal,14.360372587629683,Combustiveis Fosseis
Argentina,ARG,2008,Coal,17.516082745510708,Combustiveis Fosseis
Argentina,ARG,2009,Coal,9.62094575448739,Combustiveis Fosseis
Argentina,ARG,2010,Coal,13.472090827423598,Combustiveis Fosseis
Argentina,ARG,2011,Coal,14.618656959318878,Combustiveis Fosseis
Argentina,ARG,2012,Coal,13.66919151618216,Combustiveis Fosseis
Argentina,ARG,2013,Coal,14.939314675335014,Combustiveis Fosseis
Argentina,ARG,2014,Coal,15.891729314539282,Combustiveis Fosseis
Argentina,ARG,2015,Coal,15.81414192900412,Combustiveis Fosseis
Argentina,ARG,2016,Coal,12.188651102213084,Combustiveis Fosseis
Argentina,ARG,2017,Coal,12.525298199844933,Combustiveis Fosseis
Argentina,ARG,2018,Coal,13.709158634918134,Combustiveis Fosseis
Argentina,ARG,2019,Coal,6.347707312686594,Combustiveis Fosseis
Australia,AUS,1965,Coal,202.0279394,Combustiveis Fosseis
Australia,AUS,1966,Coal,209.3890564,Combustiveis Fosseis
Australia,AUS,1967,Coal,215.25017220000004,Combustiveis Fosseis
Australia,AUS,1968,Coal,221.6946218,Combustiveis Fosseis
Australia,AUS,1969,Coal,229.2779612,Combustiveis Fosseis
Australia,AUS,1970,Coal,231.6946298,Combustiveis Fosseis
Australia,AUS,1971,Coal,232.5696305,Combustiveis Fosseis
Australia,AUS,1972,Coal,242.9307499,Combustiveis Fosseis
Australia,AUS,1973,Coal,252.9863135,Combustiveis Fosseis
Australia,AUS,1974,Coal,264.0696557,Combustiveis Fosseis
Australia,AUS,1975,Coal,272.5418847,Combustiveis Fosseis
Australia,AUS,1976,Coal,281.79189210000004,Combustiveis Fosseis
Australia,AUS,1977,Coal,294.18079090000003,Combustiveis Fosseis
Australia,AUS,1978,Coal,301.86135260000003,Combustiveis Fosseis
Australia,AUS,1979,Coal,315.54191910000003,Combustiveis Fosseis
Australia,AUS,1980,Coal,324.7641487,Combustiveis Fosseis
Australia,AUS,1981,Coal,333.13915540000005,Combustiveis Fosseis
Australia,AUS,1982,Coal,336.68082490000006,Combustiveis Fosseis
Australia,AUS,1983,Coal,336.55582480000004,Combustiveis Fosseis
Australia,AUS,1984,Coal,355.90306250000003,Combustiveis Fosseis
Australia,AUS,1985,Coal,368.1391834,Combustiveis Fosseis
Australia,AUS,1986,Coal,377.4864131000001,Combustiveis Fosseis
Australia,AUS,1987,Coal,393.3614258,Combustiveis Fosseis
